file,module,ecosystem,total_lines,covered_lines,coverage_pct,test_exists,priority
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/integration/dto/BookingResponse.java","passenger-service",backend,1,1,100.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/dto/PassengerRequest.java","passenger-service",backend,1,1,100.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/dto/AssignSeatRequest.java","passenger-service",backend,1,0,0.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/dto/PassengerResponse.java","passenger-service",backend,1,0,0.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/exception/BadRequestException.java","passenger-service",backend,2,2,100.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/exception/ResourceNotFoundException.java","passenger-service",backend,2,0,0.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/exception/GlobalExceptionHandler.java","passenger-service",backend,18,0,0.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/exception/GlobalExceptionHandler.java","payment-service",backend,18,0,0.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/exception/BadRequestException.java","payment-service",backend,2,2,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/exception/ResourceNotFoundException.java","payment-service",backend,2,2,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/dto/ProcessPaymentRequest.java","payment-service",backend,1,1,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/dto/RefundPaymentRequest.java","payment-service",backend,1,1,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/dto/PaymentResponse.java","payment-service",backend,1,1,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/dto/VerifyPaymentRequest.java","payment-service",backend,1,1,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/dto/InitiatePaymentRequest.java","payment-service",backend,1,1,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/dto/BookingStatusUpdateRequest.java","payment-service",backend,1,0,0.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/integration/BookingServiceClient.java","payment-service",backend,14,0,0.00,false,MEDIUM
"backend/payment-service/src/main/java/com/skybooker/paymentservice/integration/dto/BookingSnapshot.java","payment-service",backend,1,0,0.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/controller/PaymentController.java","payment-service",backend,14,0,0.00,false,MEDIUM
"backend/payment-service/src/main/java/com/skybooker/paymentservice/service/impl/PaymentServiceImpl.java","payment-service",backend,264,160,60.61,true,HIGH
"backend/payment-service/src/main/java/com/skybooker/paymentservice/PaymentServiceApplication.java","payment-service",backend,3,0,0.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/entity/Payment.java","payment-service",backend,3,3,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/entity/PaymentMode.java","payment-service",backend,5,5,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/entity/PaymentStatus.java","payment-service",backend,5,5,100.00,false,LOW
"backend/payment-service/src/main/java/com/skybooker/paymentservice/config/RabbitMessagingConfig.java","payment-service",backend,5,0,0.00,false,LOW
"backend/seat-service/src/main/java/com/skybooker/seatservice/controller/SeatController.java","seat-service",backend,7,0,0.00,false,MEDIUM
"backend/seat-service/src/main/java/com/skybooker/seatservice/exception/BadRequestException.java","seat-service",backend,2,0,0.00,false,LOW
"backend/seat-service/src/main/java/com/skybooker/seatservice/exception/ConflictException.java","seat-service",backend,2,0,0.00,false,LOW
"backend/seat-service/src/main/java/com/skybooker/seatservice/exception/GlobalExceptionHandler.java","seat-service",backend,23,0,0.00,false,LOW
"backend/seat-service/src/main/java/com/skybooker/seatservice/exception/ResourceNotFoundException.java","seat-service",backend,2,0,0.00,false,LOW
"backend/seat-service/src/main/java/com/skybooker/seatservice/entity/SeatStatus.java","seat-service",backend,5,5,100.00,false,LOW
"backend/seat-service/src/main/java/com/skybooker/seatservice/entity/SeatClass.java","seat-service",backend,4,4,100.00,false,LOW
"backend/seat-service/src/main/java/com/skybooker/seatservice/service/impl/SeatServiceImpl.java","seat-service",backend,226,41,18.14,true,HIGH
"backend/seat-service/src/main/java/com/skybooker/seatservice/SeatServiceApplication.java","seat-service",backend,3,0,0.00,false,LOW
"frontend/src/app/app.component.ts","other",frontend,96,14,14.58,true,LOW
"frontend/src/app/core/config/environment.ts","other",frontend,1,1,100.00,false,LOW
"frontend/src/app/core/guards/admin.guard.ts","core/guards",frontend,7,7,100.00,true,HIGH
"frontend/src/app/core/guards/airline-staff.guard.ts","core/guards",frontend,7,7,100.00,true,HIGH
"frontend/src/app/core/guards/auth.guard.ts","core/guards",frontend,6,6,100.00,true,HIGH
"frontend/src/app/core/guards/guest.guard.ts","core/guards",frontend,14,11,78.57,true,HIGH
"frontend/src/app/core/guards/operations.guard.ts","core/guards",frontend,10,10,100.00,true,HIGH
"frontend/src/app/core/services/admin-api.service.ts","core/services",frontend,21,7,33.33,true,HIGH
"frontend/src/app/core/services/airline-airport-api.service.ts","core/services",frontend,12,12,100.00,true,HIGH
"frontend/src/app/core/services/auth-api.service.ts","core/services",frontend,22,18,81.82,true,HIGH
"frontend/src/app/core/services/booking-api.service.ts","core/services",frontend,12,7,58.33,true,HIGH
"frontend/src/app/core/services/booking-journey.service.ts","core/services",frontend,35,31,88.57,true,HIGH
"frontend/src/app/core/services/flight-api.service.ts","core/services",frontend,11,11,100.00,true,HIGH
"frontend/src/app/core/services/notification-api.service.ts","core/services",frontend,5,5,100.00,true,HIGH
"frontend/src/app/core/services/passenger-api.service.ts","core/services",frontend,7,7,100.00,true,HIGH
"frontend/src/app/core/services/payment-api.service.ts","core/services",frontend,9,7,77.78,true,HIGH
"frontend/src/app/core/services/seat-api.service.ts","core/services",frontend,9,9,100.00,true,HIGH
"frontend/src/app/core/services/timer.service.ts","core/services",frontend,15,15,100.00,true,HIGH
"frontend/src/app/core/services/token-storage.service.ts","core/services",frontend,29,24,82.76,true,HIGH
"frontend/src/app/features/auth/login/login.component.ts","auth",frontend,138,65,47.10,true,HIGH
